,dataset,target,no_feat,no_rows,tr_RMSE,te_RMSE,model_class,model_complexity,k,d,l
92,red_wine_quality,quality,11,1599,3.9184856189027606,3.925244392757339,xgboost,8,3,1,100
93,red_wine_quality,quality,11,1599,3.8207787368538986,3.825198916556929,xgboost,32,3,3,1
94,red_wine_quality,quality,11,1599,3.8387149953184103,3.845252782172916,xgboost,10,3,3,10
95,red_wine_quality,quality,11,1599,3.9184856189027606,3.925244392757339,xgboost,8,3,3,100
96,red_wine_quality,quality,11,1599,3.820641370055496,3.8252711249618208,xgboost,36,3,5,1
97,red_wine_quality,quality,11,1599,3.8387149953184103,3.845252782172916,xgboost,10,3,5,10
98,red_wine_quality,quality,11,1599,3.9184856189027606,3.925244392757339,xgboost,8,3,5,100
99,red_wine_quality,quality,11,1599,1.9330916369726072,1.938823202396818,xgboost,40,10,1,1
100,red_wine_quality,quality,11,1599,1.9627013493059215,1.9691690461581293,xgboost,38,10,1,10
101,red_wine_quality,quality,11,1599,2.1010364119623146,2.104752025242867,xgboost,34,10,1,100
102,red_wine_quality,quality,11,1599,1.9137197585828105,1.9232990095221048,xgboost,132,10,3,1
103,red_wine_quality,quality,11,1599,1.9579540233162946,1.962837033961916,xgboost,74,10,3,10
104,red_wine_quality,quality,11,1599,2.100964092759863,2.1042136032710688,xgboost,46,10,3,100
105,red_wine_quality,quality,11,1599,1.9089313004094122,1.9279985454608015,xgboost,216,10,5,1
106,red_wine_quality,quality,11,1599,1.9578960010575035,1.9626521672025055,xgboost,82,10,5,10
107,red_wine_quality,quality,11,1599,2.100964092759863,2.1042136032710688,xgboost,46,10,5,100
108,titanic,Survived,10,1043,0.47649517270096786,0.4758783645919548,xgboost,4,1,1,1
109,titanic,Survived,10,1043,0.4769664952362209,0.4763660540147977,xgboost,4,1,1,10
110,titanic,Survived,10,1043,0.4807753784626029,0.48030028121266427,xgboost,4,1,1,100
111,titanic,Survived,10,1043,0.47175317785637666,0.4720555640721058,xgboost,16,1,3,1
112,titanic,Survived,10,1043,0.47289268575659543,0.47337758890644455,xgboost,16,1,3,10
113,titanic,Survived,10,1043,0.4791974216674156,0.479235874056578,xgboost,14,1,3,100
114,titanic,Survived,10,1043,0.469254623369243,0.4716835551540087,xgboost,50,1,5,1
115,titanic,Survived,10,1043,0.47162177540563865,0.4741784959509343,xgboost,44,1,5,10
116,titanic,Survived,10,1043,0.478996988268103,0.4790243233422988,xgboost,30,1,5,100
117,titanic,Survived,10,1043,0.439740617778464,0.43792246731025825,xgboost,12,3,1,1
118,titanic,Survived,10,1043,0.44075125978459107,0.4389786518052273,xgboost,12,3,1,10
119,titanic,Survived,10,1043,0.44922561251776866,0.44780852001403404,xgboost,12,3,1,100
120,titanic,Survived,10,1043,0.4263114000225458,0.4277025663267091,xgboost,48,3,3,1
121,titanic,Survived,10,1043,0.42895087877122534,0.42989042640018443,xgboost,48,3,3,10
122,titanic,Survived,10,1043,0.44435186964563983,0.44404677732005665,xgboost,44,3,3,100
123,titanic,Survived,10,1043,0.41899791466481323,0.4273169547654023,xgboost,152,3,5,1
124,titanic,Survived,10,1043,0.42558365483438904,0.4333502691152074,xgboost,134,3,5,10
125,titanic,Survived,10,1043,0.44378745188363816,0.4437878548485214,xgboost,96,3,5,100
126,titanic,Survived,10,1043,0.3791113352736894,0.3739910496835083,xgboost,40,10,1,1
127,titanic,Survived,10,1043,0.38002428336595306,0.3749931376056062,xgboost,40,10,1,10
128,titanic,Survived,10,1043,0.38895119551994356,0.3846891324698263,xgboost,40,10,1,100
129,titanic,Survived,10,1043,0.3463074268028895,0.3488051726989812,xgboost,160,10,3,1
130,titanic,Survived,10,1043,0.3501400085047351,0.35433771864178054,xgboost,156,10,3,10
131,titanic,Survived,10,1043,0.37130357530041275,0.37281260436299657,xgboost,154,10,3,100
132,titanic,Survived,10,1043,0.32202021957242355,0.348475482770747,xgboost,518,10,5,1
133,titanic,Survived,10,1043,0.339243191283848,0.360239535825068,xgboost,462,10,5,10
134,titanic,Survived,10,1043,0.36903663953377164,0.37350333662565316,xgboost,378,10,5,100
135,used_cars,avgPrice,7,1770,12817.205665038906,12950.29284688912,xgboost,4,1,1,1
136,used_cars,avgPrice,7,1770,12835.980033316759,12968.355259508455,xgboost,4,1,1,10
137,used_cars,avgPrice,7,1770,12981.71084987662,13106.407236606507,xgboost,4,1,1,100
